x,y,velocity,yaw,curvature
6.246475910467899,8.975608105746867,9.5,-3.0561946639648503,-0.0012625863383147755
4.836787007477623,8.854740116509761,8.75,-3.055153987944591,0.00216178775093921
3.257891816192661,8.714140877503892,8.0,-3.0497156591810413,0.004801165824258915
1.6800860716920443,8.561089204771877,5.975,-3.0387980514053146,0.009729370173883537
0.27366550905480835,8.402863914356331,3.95,-3.016933485283411,0.02489361437367931
-0.8368727706271871,8.250670784943866,3.925,-2.998044990493324,0.0013651571642369594
-1.7102262022107855,8.131423445797068,3.9,-3.024982426909519,-0.07581397167079883
-2.423453064417189,8.033452553351335,3.9,-2.9206143893089425,0.4816264007563387
-2.9438604754763382,7.775049022157313,3.9,-2.344687303386384,1.3463786085300935
-3.2361241513897516,7.194875596145404,3.925,-1.8352307896953677,0.3920948653301914
-3.3641453597365416,6.383122078649722,3.95,-1.6566854674029172,0.10593408562525304
-3.407158376838321,5.479782466803791,4.725,-1.5880852613075847,0.05190488026716413
-3.406503962409106,4.572540473535048,5.5,-1.5573793532735476,0.016297712448159814
-3.389675982337998,3.7266446747294935,5.75,-1.5448786789876512,0.013100602896516753
-3.366674243822027,2.9699133823134893,6.0,-1.5365132450183778,0.008489002306642474
-3.3206727984620277,2.294078477081472,4.965,-1.438155683112322,0.27186114542522466
-3.1450367341661316,1.5839563792598113,3.93,-1.219950860462939,0.2681127979796711
-2.745774973521187,0.7839433665871813,3.93,-0.9892410302254463,0.3093862780531076
-2.1692807415216127,0.183670607419538,3.93,-0.531521616380162,0.9947334018928595
-1.459349317851765,0.0405898898515859,3.93,0.041038110668242984,0.3543847418867095
-0.5089998985481792,0.1382005903157406,3.93,0.09472379074227741,-0.103167169419328
0.7386249347282791,0.21068667879060987,4.465,0.03960561077461112,-0.008314975438338385
1.9891129741716025,0.26892291110185873,5.0,0.06907013270941302,0.07226872301542865
2.9862393600768287,0.3707988713972742,7.25,0.12502697443573121,0.015289031197775827
3.977798251288318,0.4855726712660742,9.5,0.09277388042370041,-0.0591387217412663
5.279004927430773,0.5797214792931258,9.5,0.06373412485461318,-0.0006975519740750918
6.970740132700938,0.697230164604461,9.5,0.07917677126579527,0.014896427828256634
8.992649882217266,0.8777108571403599,9.5,0.09508420389343712,0.0030797069073981317
10.953775810212967,1.06577702955693,9.5,0.09307091806209139,-0.006805491511767052
12.523398649049703,1.2046828914926813,8.75,0.08476421235612311,-0.0017132549083704433
13.942359904488203,1.3272442577999062,8.0,0.08999578772073161,0.008134166033642207
15.477311494390658,1.4754627012338102,5.975,0.10294709173531845,0.0097653246939402
16.92658621162606,1.6385212209474673,3.95,0.12431556429893731,0.023901482717443825
18.048607173854247,1.7920093948537346,3.925,0.1437607280185134,0.002197049554280444
18.91047792289165,1.909961689506729,3.9,0.11666377518125515,-0.0778191664558899
19.620628209511455,2.0075856332753657,3.775,0.22067733034793938,0.47724800723240657
20.144112196157206,2.266336113146486,3.65,0.7940523468881229,1.346295678772333
20.437199491870842,2.846602289372989,3.65,1.306958452319959,0.3948479973475413
20.564397080417407,3.658263056654078,3.65,1.48568605109677,0.10434989178562812
20.60719219390489,4.561578616318737,4.075,1.553366857207811,0.0513872647897733
20.606755683089972,5.468844661768752,4.5,1.5840126087710698,0.016714122037099294
20.589975697675833,6.3147439190848,4.75,1.596764645291086,0.0132561976288633
20.566925964502897,7.071471752990309,5.0,1.605100005519376,0.008195357589170492
20.520950444129337,7.747316876361617,4.465,1.7033865565411406,0.27198262323541933
20.345288454847,8.457428756043988,3.93,1.921791762885642,0.2684341256837609
19.945874999599347,9.25739743764896,3.93,2.1524520156338998,0.3090123920659808
19.36953246220248,9.857714527884262,3.93,2.60957213438464,0.9943000685139041
18.660181891957027,10.000962351583553,3.93,3.182528164230222,0.3551638657381855
17.709251619229047,9.903184544988058,3.93,3.236628729541566,-0.10243598732524163
16.45945506685772,9.830074363055486,4.465,3.1814343126789906,-0.008920410523177328
15.211138746509263,9.77246222420194,5.0,3.2093315090973915,0.07070292750442297
14.222118383559119,9.672915531605993,7.25,3.265816365754228,0.01843598321776698
13.222453469392546,9.555812464037723,9.5,3.2386900345423664,-0.051269754850052245
11.890994420524628,9.4529706786705,9.5,3.207901041046059,-0.006943576186276183
10.229511587979927,9.344154970699336,9.5,3.209794571515045,0.006846928316970564
8.320505306410373,9.196116919824648,9.5,3.2304889890441295,0.014195246042712328
6.246475910467899,8.975608105746867,9.5,3.266732333371737,0.020543293217327598
